"empid","department","position","salary","termd","employmentstatus","recruitmentsource","performancescore","empsatisfaction","engagementsurvey","absences","dayslatelast30","tenureyears"
10291,"Sales","Sales Manager",72992,0,"Active","Diversity Job Fair","Needs Improvement",4,2.40,16,2,4.62
10153,"Admin Offices","Administrative Assistant",55000,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",4,3.80,17,0,7.27
10157,"Production","Production Technician I",58939,0,"Active","Employee Referral","Fully Meets",3,3.73,16,0,5.14
10119,"IT/IS","IT Support",66593,0,"Active","LinkedIn","Fully Meets",3,4.30,19,0,7.56
10180,"IT/IS","Sr. Network Engineer",87565,0,"Active","LinkedIn","Fully Meets",4,3.27,13,0,2.51
10302,"Production","Production Technician I",64021,0,"Active","Indeed","PIP",2,2.40,20,6,6.86
10090,"Production","Production Manager",65714,0,"Active","LinkedIn","Fully Meets",5,4.83,15,0,6.25
10030,"Production","Production Technician I",62425,1,"Voluntarily Terminated","LinkedIn","Exceeds",4,4.10,16,0,5.64
10278,"Production","Production Technician I",47961,0,"Active","Google Search","Fully Meets",4,4.10,9,0,7.98
10307,"Sales","Area Sales Manager",58273,0,"Active","Website","PIP",2,1.81,5,3,4.64
10147,"Admin Offices","Accountant I",63003,0,"Active","Indeed","Fully Meets",5,3.90,9,0,4.26
10266,"Production","Production Technician I",61355,0,"Active","LinkedIn","Fully Meets",3,4.70,4,0,4.87
10241,"Sales","Area Sales Manager",60120,0,"Active","Indeed","Fully Meets",4,4.10,18,0,8.26
10158,"Production","Production Manager",63682,0,"Active","Indeed","Fully Meets",4,3.73,12,0,9.98
10117,"Production","Production Technician I",63025,0,"Active","Google Search","Fully Meets",5,4.36,10,0,3.99
10209,"Production","Production Technician I",59238,0,"Active","Indeed","Fully Meets",5,3.40,13,0,6.63
10024,"Software Engineering","Software Engineer",92989,0,"Active","LinkedIn","Exceeds",5,4.50,1,0,4.49
10173,"IT/IS","BI Developer",90100,0,"Active","Indeed","Fully Meets",3,3.40,14,0,1.70
10221,"Production","Production Technician I",60754,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",5,4.50,11,0,9.68
10146,"Production","Production Technician II",72202,1,"Voluntarily Terminated","Google Search","Fully Meets",3,3.93,3,0,7.63
10161,"Sales","Area Sales Manager",58370,0,"Active","Indeed","Fully Meets",3,3.69,18,0,4.26
10141,"Production","Production Technician I",48413,1,"Voluntarily Terminated","Indeed","Fully Meets",4,3.98,1,0,7.49
10268,"Production","Production Technician II",67176,1,"Voluntarily Terminated","Other","Fully Meets",4,4.10,15,0,11.52
10123,"Production","Production Technician I",56339,0,"Active","Indeed","Fully Meets",5,4.21,4,0,5.87
10013,"Sales","Area Sales Manager",64397,0,"Active","Indeed","Exceeds",3,4.10,6,0,12.98
10287,"Production","Production Technician I",63025,0,"Active","LinkedIn","Needs Improvement",5,2.44,18,4,4.87
10044,"IT/IS","Network Engineer",75281,1,"Voluntarily Terminated","CareerBuilder","Fully Meets",3,5.00,11,0,3.99
10102,"Software Engineering","Software Engineer",100416,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",3,4.60,9,0,5.87
10270,"Production","Production Technician II",74813,1,"Voluntarily Terminated","LinkedIn","Fully Meets",3,4.40,5,0,7.98
10045,"IT/IS","Network Engineer",76029,0,"Active","Employee Referral","Fully Meets",4,5.00,8,0,3.76
10205,"Sales","Area Sales Manager",57859,0,"Active","Indeed","Fully Meets",3,2.81,16,0,7.49
10014,"Production","Production Technician I",58523,1,"Voluntarily Terminated","LinkedIn","Exceeds",5,4.50,15,0,6.38
10144,"Production","Production Manager",88976,0,"Active","Employee Referral","Fully Meets",3,3.93,19,0,7.42
10253,"Sales","Area Sales Manager",55875,0,"Active","Website","Fully Meets",4,4.50,11,0,6.83
10118,"IT/IS","Database Administrator",113999,1,"Terminated for Cause","Employee Referral","Fully Meets",3,4.33,9,0,3.87
10022,"Production","Production Technician I",49773,1,"Terminated for Cause","Google Search","Exceeds",5,4.30,18,0,7.27
10183,"Production","Production Technician I",62068,0,"Active","LinkedIn","Fully Meets",3,3.21,7,0,3.49
10190,"Production","Production Technician II",66541,0,"Active","Employee Referral","Fully Meets",5,3.11,4,0,4.37
10274,"Production","Production Manager",80512,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",3,4.50,5,0,7.27
10293,"Production","Production Technician I",50274,1,"Voluntarily Terminated","CareerBuilder","Needs Improvement",3,2.50,13,6,6.38
10172,"IT/IS","Senior BI Developer",84903,0,"Active","Indeed","Fully Meets",4,3.42,17,0,1.88
10127,"IT/IS","Sr. Network Engineer",107226,0,"Active","Employee Referral","Fully Meets",4,4.20,7,0,3.76
10072,"Production","Production Technician I",58371,1,"Voluntarily Terminated","LinkedIn","Fully Meets",5,5.00,11,0,7.98
10048,"Production","Production Technician I",55140,1,"Voluntarily Terminated","Website","Fully Meets",3,5.00,7,0,7.63
10204,"Production","Production Technician I",58062,1,"Voluntarily Terminated","Google Search","Fully Meets",5,3.60,9,0,7.98
10264,"Production","Production Technician I",59728,1,"Voluntarily Terminated","Diversity Job Fair","Fully Meets",4,4.30,16,0,6.98
10033,"Production","Production Technician II",70507,1,"Voluntarily Terminated","LinkedIn","Exceeds",3,5.00,7,0,5.98
10174,"Production","Production Technician II",60446,0,"Active","LinkedIn","Fully Meets",4,3.40,14,0,4.26
10135,"Production","Production Technician II",65893,0,"Active","LinkedIn","Fully Meets",4,4.07,13,0,4.49
10301,"Production","Production Technician I",48513,1,"Voluntarily Terminated","Google Search","PIP",2,3.20,4,5,10.33
10010,"IT/IS","CIO",220450,0,"Active","Employee Referral","Exceeds",5,4.60,16,0,8.73
10043,"IT/IS","Data Analyst",89292,0,"Active","Employee Referral","Fully Meets",3,5.00,11,0,3.76
10271,"Production","Production Technician I",45046,0,"Active","LinkedIn","Fully Meets",5,4.50,2,0,4.26
